09.03.2017                                                                                                                                                                                                                                                                                                                                                                                                           Dynamic List Display                                                                                                                                                                                                                                                                                                                                                                                                                  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List of Sales Orders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc. date,,,01.01.2016     To   31.12.2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bb,Document,cc,Item,SLNo,Description,SaTy,Doc. Date,ConfirmQty,PO Number,PO number,Batch,Valid from,Valid to,Dlv.Date,Created by,BB,Sold-to pt,Exch.Rate,Order qty,SLoc,DlBl,Material,BUn,Name 1,Cust.price,per,UoM,CdCur, Net price,per,UoM,  Net value, Net Value,Dv,S,Status,SOff.,SGrp,SOrg.,SU,ShPt,DChl,GI Date,Curr.,Plnt,Order qty,Descriptn,OrdRs,Rj,Prb,Address,DocCa,D/C,List Lev.,Pricing dt,TranslDate,TranslDate,ERTy,Segment,VPe,UnV,VCat,Inst.date,AcceptDate,ContrctEnd,CPrc,Actn,RecCanc.,RqCancDt,P,Re,CanclDoc,DtCancDc,DismDate,ActDt,Actn,Descriptn,Loc.ID,Created on,Time,Ship cond,Descript.,Site Loc C,SH Name 1,House No.,SH Street,SH City,SH Region,Descript.,Postl Code,Assignment,ED,Val. Type
,X,202285371,,10,1,HelixHX7 5W-40_12*1L_A0FI,ZOR,20.12.2016,3,2016122075,2016122075,,,,23.12.2016,ESELFSERVE,,10376329,1,3,,,550013350,CAR,LUEN YING HONG COMPANY LIMITED,,0,,,1 138.44,1,CAR,39 183.66,3 415.32,3,C,Completed,A023,BHL,HK08,CAR,373,14,21.12.2016,HKD,H122,3,,,,100,1262881,C,,,20.12.2016,,,,,,,,,,,,,,,,,,,,,,,,20.12.2016,9:54:20,11,Road Delivery,10045176,SHELL TAIPA,279,ESTRADA GOVERNR ALBANO DE OLIV,MACAU,,,853,,UA,TA
,X,202285371,,20,1,Advance SX2Solvfe_12*1L_A0FF,ZOR,20.12.2016,1,2016122075,2016122075,,,,23.12.2016,ESELFSERVE,,10376329,1,1,,,550025595,CAR,LUEN YING HONG COMPANY LIMITED,,0,,,429.9,1,CAR,39 183.66,429.9,3,C,Completed,A023,BHL,HK08,CAR,373,14,21.12.2016,HKD,H122,1,,,,100,1262881,C,,,20.12.2016,,,,,,,,,,,,,,,,,,,,,,,,20.12.2016,9:54:20,11,Road Delivery,10045176,SHELL TAIPA,279,ESTRADA GOVERNR ALBANO DE OLIV,MACAU,,,853,,UA,TA
,X,202285371,,30,1,Advance VSX 2 FC/EGD_12*1L_A238,ZOR,20.12.2016,2,2016122075,2016122075,,,,23.12.2016,ESELFSERVE,,10376329,1,2,,,550025036,CAR,LUEN YING HONG COMPANY LIMITED,,0,,,611.42,1,CAR,39 183.66,1 222.84,3,C,Completed,A023,BHL,HK08,CAR,373,14,21.12.2016,HKD,H122,2,,,,100,1262881,C,,,20.12.2016,,,,,,,,,,,,,,,,,,,,,,,,20.12.2016,9:54:20,11,Road Delivery,10045176,SHELL TAIPA,279,ESTRADA GOVERNR ALBANO DE OLIV,MACAU,,,853,,UA,TA
,X,202285371,,40,1,HelixUltra5W40_12*1L_A0FI,ZOR,20.12.2016,2,2016122075,2016122075,,,,23.12.2016,ESELFSERVE,,10376329,1,2,,,550013469,CAR,LUEN YING HONG COMPANY LIMITED,,0,,,1 994.27,1,CAR,39 183.66,3 988.54,3,C,Completed,A023,BHL,HK08,CAR,373,14,21.12.2016,HKD,H122,2,,,,100,1262881,C,,,20.12.2016,,,,,,,,,,,,,,,,,,,,,,,,20.12.2016,9:54:20,11,Road Delivery,10045176,SHELL TAIPA,279,ESTRADA GOVERNR ALBANO DE OLIV,MACAU,,,853,,UA,TA
,X,202285371,,50,1,HelixUltra5W40_4*4L_A0FF,ZOR,20.12.2016,10,2016122075,2016122075,,,,23.12.2016,ESELFSERVE,,10376329,1,10,,,550013354,CAR,LUEN YING HONG COMPANY LIMITED,,0,,,2 067.80,1,CAR,39 183.66,20 678.00,3,C,Completed,A023,BHL,HK08,CAR,373,14,21.12.2016,HKD,H122,10,,,,100,1262881,C,,,20.12.2016,,,,,,,,,,,,,,,,,,,,,,,,20.12.2016,9:54:20,11,Road Delivery,10045176,SHELL TAIPA,279,ESTRADA GOVERNR ALBANO DE OLIV,MACAU,,,853,,UA,TA
,X,202285371,,60,1,Spirax S2 ATF D2_4*4L_A0FF,ZOR,20.12.2016,1,2016122075,2016122075,,,,23.12.2016,ESELFSERVE,,10376329,1,1,,,550025607,CAR,LUEN YING HONG COMPANY LIMITED,,0,,,1 038.13,1,CAR,39 183.66,1 038.13,3,C,Completed,A023,BHL,HK08,CAR,373,14,21.12.2016,HKD,H122,1,,,,100,1262881,C,,,20.12.2016,,,,,,,,,,,,,,,,,,,,,,,,20.12.2016,9:54:20,11,Road Delivery,10045176,SHELL TAIPA,279,ESTRADA GOVERNR ALBANO DE OLIV,MACAU,,,853,,UA,TA
,X,202285371,,70,1,Flushing Oil D 22_4*4L_A0FI,ZOR,20.12.2016,2,2016122075,2016122075,,,,23.12.2016,ESELFSERVE,,10376329,1,2,,,550013461,CAR,LUEN YING HONG COMPANY LIMITED,,0,,,509.51,1,CAR,39 183.66,1 019.02,3,C,Completed,A023,BHL,HK08,CAR,373,14,21.12.2016,HKD,H122,2,,,,100,1262881,C,,,20.12.2016,,,,,,,,,,,,,,,,,,,,,,,,20.12.2016,9:54:20,11,Road Delivery,10045176,SHELL TAIPA,279,ESTRADA GOVERNR ALBANO DE OLIV,MACAU,,,853,,UA,TA
,X,202285371,,80,1,Advan4TUlt10W40SNMA2_12*1L_A0FI,ZOR,20.12.2016,1,2016122075,2016122075,,,,23.12.2016,ESELFSERVE,,10376329,1,1,,,550042984,CAR,LUEN YING HONG COMPANY LIMITED,,0,,,1 532.51,1,CAR,39 183.66,1 532.51,3,C,Completed,A023,BHL,HK08,CAR,373,14,21.12.2016,HKD,H122,1,,,,100,1262881,C,,,20.12.2016,,,,,,,,,,,,,,,,,,,,,,,,20.12.2016,9:54:20,11,Road Delivery,10045176,SHELL TAIPA,279,ESTRADA GOVERNR ALBANO DE OLIV,MACAU,,,853,,UA,TA
,X,202285371,,90,1,RimR4X15W40CI4E7DH1_4*4L_A0FF,ZOR,20.12.2016,0,2016122075,2016122075,,,,23.12.2016,ESELFSERVE,,10376329,1,10,,,550044362,CAR,LUEN YING HONG COMPANY LIMITED,,0,,,585.94,1,CAR,39 183.66,5 859.40,3,C,Completed,A023,BHL,HK08,CAR,373,14,21.12.2016,HKD,H122,10,,,,100,1262881,C,,,20.12.2016,,,,,,,,,,,,,,,,,,,,,,,,20.12.2016,9:54:20,11,Road Delivery,10045176,SHELL TAIPA,279,ESTRADA GOVERNR ALBANO DE OLIV,MACAU,,,853,,UA,TA
,X,202285371,,90,2,RimR4X15W40CI4E7DH1_4*4L_A0FF,ZOR,20.12.2016,10,2016122075,2016122075,,,,28.12.2016,ESELFSERVE,,10376329,1,10,,,550044362,CAR,LUEN YING HONG COMPANY LIMITED,,0,,,585.94,1,CAR,39 183.66,5 859.40,3,C,Completed,A023,BHL,HK08,CAR,373,14,23.12.2016,HKD,H122,0,,,,100,1262881,C,,,20.12.2016,,,,,,,,,,,,,,,,,,,,,,,,20.12.2016,9:54:20,11,Road Delivery,10045176,SHELL TAIPA,279,ESTRADA GOVERNR ALBANO DE OLIV,MACAU,,,853,,,
